ID,2013 Pořadí skokani,2013 Pořadí skokani kraj,2013 Pořadí skokani kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani,2014 Pořadí skokani kraj,2014 Pořadí skokani kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani,2015 Pořadí skokani kraj,2015 Pořadí skokani kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani,2016 Pořadí skokani kraj,2016 Pořadí skokani kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani,2017 Pořadí skokani kraj,2017 Pořadí skokani kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani,2018 Pořadí skokani kraj,2018 Pořadí skokani kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani,2019 Pořadí skokani kraj,2019 Pořadí skokani kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani,2020 Pořadí skokani kraj,2020 Pořadí skokani kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani,2021 Pořadí skokani kraj,2021 Pořadí skokani kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani,2022 Pořadí skokani kraj,2022 Pořadí skokani kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani,2023 Pořadí skokani kraj,2023 Pořadí skokani kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani,2024 Pořadí skokani kraj,2024 Pořadí skokani kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani,2025 Pořadí skokani kraj,2025 Pořadí skokani kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani,2026 Pořadí skokani kraj,2026 Pořadí skokani kategorie,2026 Pořadí skokani kraj kategorie,2027 Pořadí skokani,2027 Pořadí skokani kraj,2027 Pořadí skokani kategorie,2027 Pořadí skokani kraj kategorie
35564,52,14,6,3,,,,,,,,,,,,,59,12,,,16,5,,,82,20,,,24,9,,,6,3,,,103,29,,,118,35,,,130,32,,,137,34,,,,,,,,,,
14694,53,5,,,19,3,,,21,4,,,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41833,53,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4927,55,1,,,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49658,56,14,,,,,,,,,,,,,,,42,1,,,47,2,,,53,5,,,86,4,,,,,,,,,,,74,1,,,,,,,,,,,,,,,,,,
3595,57,15,,,,,,,62,15,,,,,,,,,,,47,8,,,58,12,,,95,15,,,,,,,49,13,,,99,22,,,41,12,,,61,8,,,116,23,,,45,11,,
42375,,,,,1,1,1,1,2,1,1,1,8,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7,,,,,,,,,,
56502,,,,,3,2,2,1,44,7,6,3,,,,,,,,,45,7,12,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,157,28,,,,,,
35775,,,,,6,1,3,1,49,9,7,1,2,1,2,1,25,6,7,1,9,3,,,30,4,,,64,23,,,87,12,,,36,10,,,66,15,,,12,4,,,6,2,,,128,7,,,,,,
12681,,,,,11,4,,,,,,,,,,,69,20,,,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57981,,,,,12,1,,,65,2,,,29,2,,,25,2,,,67,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49349,,,,,12,5,3,1,11,3,4,2,16,4,5,2,8,2,3,2,2,1,1,1,18,3,,,16,2,,,,,,,,,,,129,3,,,,,,,,,,,,,,,,,,
31582,,,,,14,5,6,2,,,,,,,,,46,9,,,,,,,,,,,79,2,,,15,1,,,,,,,,,,,,,,,107,2,,,49,2,,,,,,
58144,,,,,17,6,,,47,8,,,74,13,,,14,5,,,88,20,,,93,21,,,47,16,,,63,17,,,32,10,,,79,26,,,51,11,,,147,37,,,,,,,,,,
27914,,,,,17,2,,,68,1,,,,,,,,,,,34,1,,,39,2,,,97,6,,,24,2,,,63,1,,,134,5,,,,,,,10,1,,,97,3,,,,,,
27649,,,,,20,1,,,44,4,,,38,2,,,6,2,,,87,5,,,80,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59131,,,,,23,7,,,27,7,,,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57931,,,,,25,1,,,18,1,,,45,4,,,16,1,,,23,1,,,,,,,,,,,,,,,,,,,92,3,,,39,2,,,26,2,,,163,5,,,,,,
58973,,,,,25,3,,,67,10,,,77,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59263,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59130,,,,,33,12,,,66,17,,,65,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42373,,,,,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58191,,,,,35,8,,,23,2,,,62,5,,,42,14,,,49,11,,,,,,,,,,,,,,,,,,,86,28,,,105,22,,,99,25,,,,,,,,,,
19291,,,,,37,14,,,16,2,,,49,2,,,65,19,,,57,11,,,86,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35721,,,,,40,10,,,7,2,,,81,4,,,1,1,,,32,6,,,,,,,,,,,,,,,80,4,,,66,1,,,61,1,,,43,5,,,82,4,,,45,4,,
36809,,,,,50,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39771,,,,,54,8,9,2,,,,,35,8,10,3,15,2,,,35,6,,,46,7,,,105,8,,,53,8,,,40,8,,,125,30,,,95,5,,,57,4,,,128,13,,,,,,
45686,,,,,58,15,12,4,,,,,34,3,,,28,1,,,45,1,,,15,1,,,8,1,,,99,5,,,46,1,,,35,2,,,29,3,,,76,6,,,104,6,,,,,,
14864,,,,,59,3,,,19,2,,,36,3,,,71,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16965,,,,,61,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45843,,,,,,,,,1,1,1,1,10,2,4,1,32,6,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44508,,,,,,,,,3,1,2,1,17,2,6,2,18,6,1,1,26,6,10,5,,,,,,,,,,,,,44,13,,,49,16,,,82,18,,,18,5,,,93,21,,,43,13,,
61464,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,82,11,,,97,17,,,51,11,,,89,20,,,88,13,,,13,3,,,,,,
45685,,,,,,,,,12,1,,,76,16,,,,,,,,,,,,,,,,,,,93,13,,,26,4,,,110,11,,,14,2,,,54,7,,,152,14,,,22,4,,
58221,,,,,,,,,13,1,,,18,1,,,63,2,,,12,1,,,48,2,,,54,2,,,,,,,,,,,,,,,,,,,125,6,,,175,7,,,,,,
61332,,,,,,,,,15,3,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,,,,,,,,,17,3,,,73,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31260,,,,,,,,,25,1,,,3,1,,,73,2,,,10,3,,,37,6,,,74,11,,,18,1,,,108,10,,,25,3,,,72,8,,,8,1,,,141,22,,,,,,
58215,,,,,,,,,27,7,,,53,11,,,70,14,,,64,15,,,66,13,,,89,13,,,,,,,,,,,,,,,,,,,,,,,113,22,,,,,,
27651,,,,,,,,,38,2,,,55,3,,,4,1,,,89,6,,,36,5,,,81,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46972,,,,,,,,,39,2,8,1,,,,,,,,,59,13,,,21,2,,,86,3,,,84,3,,,23,8,,,20,8,,,120,28,,,12,3,,,,,,,,,,
56051,,,,,,,,,43,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58214,,,,,,,,,46,8,,,65,10,,,21,4,,,25,5,,,94,13,,,82,10,,,12,2,,,106,19,,,47,10,,,116,23,,,61,6,,,42,4,,,,,,
60692,,,,,,,,,49,3,,,45,4,,,57,4,,,71,2,,,13,4,,,110,34,,,37,9,,,36,11,,,131,36,,,,,,,,,,,,,,,,,,
58235,,,,,,,,,51,3,,,67,11,,,40,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31266,,,,,,,,,57,6,,,14,2,,,54,1,,,19,1,,,100,2,,,58,1,,,68,1,,,60,2,,,46,1,,,103,2,,,44,3,,,181,10,,,,,,
39807,,,,,,,,,60,12,,,53,8,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,69,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56453,,,,,,,,,70,18,,,,,,,,,,,,,,,46,4,,,108,7,,,,,,,,,,,,,,,122,3,,,,,,,,,,,,,,
4965,,,,,,,,,3,3,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51123,,,,,,,,,,,,,1,1,1,1,24,8,2,2,3,1,1,1,41,9,15,6,,,,,,,,,,,,,,,,,,,,,,,,,55,2,,,34,2,,
58218,,,,,,,,,,,,,3,2,,,20,3,,,54,9,,,65,9,,,72,4,,,106,16,,,72,22,,,28,11,,,138,36,,,125,13,,,117,18,,,,,,
54810,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44107,,,,,,,,,,,,,9,4,2,1,51,9,4,1,5,2,3,1,10,1,7,1,73,5,20,2,4,1,,,92,13,,,28,3,,,35,4,,,70,10,,,162,16,,,34,6,,
10417,,,,,,,,,,,,,11,1,,,23,2,,,39,9,,,92,13,,,22,5,,,82,9,,,106,9,,,86,9,,,107,15,,,78,6,,,102,14,,,,,,
64388,,,,,,,,,,,,,13,1,,,46,1,,,28,1,,,72,1,,,68,1,,,55,5,,,39,11,,,32,7,,,123,25,,,108,17,,,46,11,,,22,6,,
31560,,,,,,,,,,,,,24,3,,,53,16,,,29,8,,,25,6,,,66,24,,,91,25,,,114,31,,,,,,,132,34,,,,,,,144,27,,,,,,
63716,,,,,,,,,,,,,26,4,,,30,11,,,79,17,,,48,10,,,76,26,,,57,14,,,68,20,,,58,22,,,95,21,,,147,37,,,37,11,,,,,,
58132,,,,,,,,,,,,,27,5,,,59,17,,,68,14,,,70,17,,,61,22,,,65,18,,,,,,,,,,,50,10,,,161,42,,,,,,,,,,
4961,,,,,,,,,,,,,43,4,,,40,4,,,64,13,,,87,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29012,,,,,,,,,,,,,45,8,12,5,49,10,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28549,,,,,,,,,,,,,49,1,,,,,,,,,,,,,,,,,,,,,,,80,3,,,86,19,,,31,2,,,67,2,,,128,4,,,,,,
32099,,,,,,,,,,,,,49,9,,,46,8,,,35,6,,,87,12,,,108,9,,,10,2,,,35,6,,,35,4,,,91,11,,,164,17,,,,,,,,,,
64053,,,,,,,,,,,,,58,9,13,3,74,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,38,1,,,39,3,,
44731,,,,,,,,,,,,,78,6,15,1,,,,,,,,,57,14,,,60,21,,,78,21,,,,,,,,,,,,,,,67,3,,,135,10,,,,,,
58255,,,,,,,,,,,,,,,,,11,1,,,22,7,,,98,15,,,97,14,,,,,,,,,,,,,,,,,,,93,22,,,,,,,,,,
