ID,2013 Pořadí skokani,2013 Pořadí skokani kraj,2013 Pořadí skokani kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani,2014 Pořadí skokani kraj,2014 Pořadí skokani kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani,2015 Pořadí skokani kraj,2015 Pořadí skokani kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani,2016 Pořadí skokani kraj,2016 Pořadí skokani kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani,2017 Pořadí skokani kraj,2017 Pořadí skokani kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani,2018 Pořadí skokani kraj,2018 Pořadí skokani kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani,2019 Pořadí skokani kraj,2019 Pořadí skokani kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani,2020 Pořadí skokani kraj,2020 Pořadí skokani kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani,2021 Pořadí skokani kraj,2021 Pořadí skokani kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani,2022 Pořadí skokani kraj,2022 Pořadí skokani kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani,2023 Pořadí skokani kraj,2023 Pořadí skokani kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani,2024 Pořadí skokani kraj,2024 Pořadí skokani kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani,2025 Pořadí skokani kraj,2025 Pořadí skokani kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani,2026 Pořadí skokani kraj,2026 Pořadí skokani kategorie,2026 Pořadí skokani kraj kategorie
68728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,13,29,5,1439,149,107,17,21,5,16,3,180,24,75,11,740,84,160,17
65049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,1,17,5,13,4,105,14,28,5,62,7,62,7,34,3,34,3
79748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,18,85,18,344,44,344,44,2217,219,2217,219,1326,137,1326,137,,,,
62804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,12,52,5,514,55,84,5,877,103,154,13,877,93,156,13,159,20,159,20
79651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,26,121,26,534,64,534,64,597,67,597,67,444,9,444,9,1781,33,1781,33
59555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,15,126,15,767,102,767,102,1096,140,1096,140,143,15,143,15,384,52,384,52
60714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,24,218,24,314,36,314,36,928,108,928,108,444,51,444,51,143,17,143,17
43940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,34,251,34,2003,246,2003,246,1614,190,1614,190,2245,268,2245,268,,,,
66164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,32,40,6,27,4,18,2,1043,126,120,10,54,5,35,3,305,35,105,11
52719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,19,296,19,1972,101,1972,101,,,,,,,,,,,,
58344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,40,330,40,1508,177,1508,177,,,,,,,,,105,14,105,14
64456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,41,339,41,2078,252,2078,252,311,37,311,37,1592,167,1592,167,1237,131,1237,131
15884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,21,381,21,1953,96,1953,96,774,41,774,41,322,19,322,19,1615,87,1615,87
72650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,23,74,3,1918,113,200,10,73,5,36,5,1943,138,1943,138,845,72,845,72
42386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,29,440,29,968,53,968,53,50,11,50,11,247,33,247,33,952,100,952,100
61428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,50,448,50,1392,162,1392,162,1787,211,1787,211,1675,181,1675,181,,,,
65902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,60,44,8,7,2,6,2,220,32,66,11,223,27,70,9,1450,151,210,24
58455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,29,119,6,2206,129,2206,129,,,,,1751,96,1751,96,,,,
1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,49,539,49,2137,165,2137,165,,,,,,,,,,,,
79256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,28,4,,,,,,,,,,,,,,,,
50401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673,73,673,73,1087,123,1087,123,1724,204,1724,204,388,46,388,46,2536,289,2536,289
45665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,97,704,97,1953,250,1953,250,1975,260,1975,260,,,,,,,,
5338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,6,717,6,1113,9,1113,9,2346,36,2346,36,,,,,,,,
65823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,79,746,79,2189,264,2189,264,,,,,,,,,,,,
44127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,68,746,68,921,73,921,73,2045,151,2045,151,788,66,788,66,1039,68,1039,68
79455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,43,797,43,1800,94,1800,94,1279,66,1279,66,,,,,,,,
32965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897,47,897,47,590,39,590,39,1011,53,1011,53,1137,68,1137,68,432,15,432,15
45173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,29,913,29,1562,54,1562,54,,,,,,,,,549,19,549,19
58733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,98,925,98,86,12,86,12,1380,156,1380,156,1363,140,1363,140,432,50,432,50
42488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,47,925,47,1461,71,1461,71,,,,,,,,,,,,
79864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,92,1028,92,1562,121,1562,121,,,,,,,,,,,,
72635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,165,1053,165,2003,261,2003,261,,,,,,,,,,,,
58520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,54,96,5,,,,,,,,,,,,,,,,
79591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,169,1074,169,1019,143,1019,143,2217,293,2217,293,596,84,596,84,1827,242,1827,242
49546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,137,1125,137,,,,,62,8,62,8,1163,123,1163,123,1801,197,1801,197
24388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167,32,1167,32,,,,,,,,,,,,,1420,88,1420,88
44743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,142,1185,142,1537,194,1537,194,1674,199,1674,199,1055,110,1055,110,1364,164,1364,164
55822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,142,1185,142,2225,271,2225,271,,,,,2394,289,2394,289,,,,
55656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,116,169,20,,,,,,,,,,,,,,,,
59468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270,70,1270,70,,,,,,,,,2296,119,2296,119,,,,
79749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317,162,100,19,534,75,121,22,877,94,154,22,2207,170,2207,170,2048,133,2048,133
49222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345,92,1345,92,,,,,,,,,,,,,,,,
20233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364,153,1364,153,838,94,838,94,2129,213,2129,213,856,93,856,93,590,68,590,68
79424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471,164,1471,164,1815,198,1815,198,2307,228,2307,228,,,,,,,,
6091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513,232,1513,232,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553,86,1553,86,,,,,,,,,,,,,,,,
64843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653,254,50,5,,,,,,,,,,,,,,,,
31711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666,105,1666,105,,,,,1674,103,1674,103,178,21,178,21,2148,161,2148,161
28747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677,92,1677,92,,,,,,,,,,,,,1706,102,1706,102
71593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,566,63,21,2,877,97,62,6,764,86,64,4
74016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,51,9,1,1,1,1,1,1,48,8,6,1
74999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,86,5,14,3,43,3,10,1,207,18,47,7
74971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,1,928,62,61,9,36,5,27,4,892,57,119,15
72503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,1,14,2,7,1,907,45,15,2,35,6,22,3
66134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,4,2,96,15,29,4,114,16,36,4,198,22,67,4
72749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,5,1,444,53,51,4,76,7,29,4,1025,130,124,20
