ID,2012 pořadí kategorie,2013 pořadí kategorie,2014 pořadí kategorie,2015 pořadí kategorie,2016 pořadí kategorie,2017 pořadí kategorie,2018 pořadí kategorie,2019 pořadí kategorie,2020 pořadí kategorie,2021 pořadí kategorie,2022 pořadí kategorie,2023 pořadí kategorie,2024 pořadí kategorie,2025 pořadí kategorie,2026 pořadí kategorie,2013 Pořadí skokani kategorie,2014 Pořadí skokani kategorie,2015 Pořadí skokani kategorie,2016 Pořadí skokani kategorie,2017 Pořadí skokani kategorie,2018 Pořadí skokani kategorie,2019 Pořadí skokani kategorie,2020 Pořadí skokani kategorie,2021 Pořadí skokani kategorie,2022 Pořadí skokani kategorie,2023 Pořadí skokani kategorie,2024 Pořadí skokani kategorie,2025 Pořadí skokani kategorie,2026 Pořadí skokani kategorie
36223,152,140,248,279,,,,,,,,,,,,404,1420,1019,,,,,,,,,,,
36229,,609,666,,,,,,,,,,,,,,1309,,,,,,,,,,,,
36264,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36268,181,175,,,,,,,,,,,,,,924,,,,,,,,,,,,,
36270,1589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36363,172,123,173,137,,,,,,,,,,,,179,860,453,,,,,,,,,,,
36364,60,75,,,,,,,,,,,,,,213,,,,,,,,,,,,,
36440,1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36441,1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36447,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
36498,3,2,8,5,13,8,,,,,,,,,,200,830,793,1643,570,,,,,,,,,
36507,415,317,,,,,,,,,,,,,,253,,,,,,,,,,,,,
36587,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36627,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36650,214,351,408,,,,,,,,,,,,,1042,1376,,,,,,,,,,,,
36651,826,1171,1256,,,,,,,,,,,,,1073,1398,,,,,,,,,,,,
36681,407,288,,,,,,,,,,,,,,179,,,,,,,,,,,,,
36694,135,101,,,,,,,,,,,,,,441,,,,,,,,,,,,,
36701,,,1338,,,,,,,,,,,,,,,,,,,,,,,,,,
36702,230,257,,,,,,,,,,,,,,221,,,,,,,,,,,,,
36732,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36739,271,265,,,,,,,,,,,,,,954,,,,,,,,,,,,,
36784,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,
36785,,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,
36809,17,19,,,,,,,,,,,,,,593,,,,,,,,,,,,,
36843,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36844,1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36850,1334,1284,,,,,,,,,,,,,,647,,,,,,,,,,,,,
36869,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36878,299,237,403,,,,,,,,,,,,,196,1300,,,,,,,,,,,,
36881,1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36901,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36913,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36921,86,71,,,,,,,,,,,,,,582,,,,,,,,,,,,,
36930,462,630,689,,,,,,,,,,,,,582,1345,,,,,,,,,,,,
36932,237,186,191,305,185,269,304,,,,,,,,,10,503,602,219,1176,1523,,,,,,,,
36933,56,76,87,123,,,,,,,,,,,,124,232,261,,,,,,,,,,,
36934,114,287,338,642,674,,,,,,,,,,,748,822,1152,1359,,,,,,,,,,
36968,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36971,111,108,146,136,,,,,,,,,,,,552,774,674,,,,,,,,,,,
36994,159,148,237,292,,,,,,,,,,,,438,1218,1366,,,,,,,,,,,
37024,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37028,1589,,670,,,,,,,,,,,,,,,,,,,,,,,,,,
37065,390,,630,,,,,,,,,,,,,,,,,,,,,,,,,,
37066,82,84,120,127,,,,,,,,,,,,831,836,1050,,,,,,,,,,,
37070,370,378,,,,,,,,,,,,,,975,,,,,,,,,,,,,
37079,44,,82,,,,,,,,,,,,,,,,,,,,,,,,,,
37122,414,584,658,,,,,,,,,,,,,659,1376,,,,,,,,,,,,
37123,928,1287,1253,,,,,,,,,,,,,1001,1079,,,,,,,,,,,,
37124,930,1008,,,,,,,,,,,,,,1164,,,,,,,,,,,,,
37127,899,1127,,,,,,,,,,,,,,1369,,,,,,,,,,,,,
37175,139,261,303,,,,,,,,,,,,,1273,1413,,,,,,,,,,,,
37243,29,52,29,,,,,,,,,,,,,975,471,,,,,,,,,,,,
37312,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37383,292,211,258,404,,,,,,,,,,,,133,591,1586,,,,,,,,,,,
37391,37,37,55,70,,121,,,,,,,,,,617,383,1246,,,,,,,,,,,
37423,189,114,230,270,439,369,428,532,,,,,,,,81,382,762,1096,618,610,1672,,,,,,,
37481,176,194,159,,,,,,,,,,,,,213,644,,,,,,,,,,,,
37488,137,120,167,120,,,,,,,,,,,,333,874,297,,,,,,,,,,,
37589,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37591,43,64,73,,,,,,,,,,,,,246,234,,,,,,,,,,,,
37595,1453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37644,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37721,12,35,18,,,,,,,,,,,,,1364,305,,,,,,,,,,,,
37759,171,164,,220,,,,,,,,,,,,143,,,,,,,,,,,,,
37781,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37804,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37805,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37824,1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37833,1403,1448,,,,,,,,,,,,,,954,,,,,,,,,,,,,
37834,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37855,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37856,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37874,203,242,244,316,320,,,,,,,,,,,74,162,265,242,,,,,,,,,,
37927,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
