Sezóna,Pohlaví,Kraj,Kategorie,Počet hráčů,Počet skokanů 800,Počet skokanů 1200,Počet skokanů 1600,Počet skokanů 2000
2019,M,KSST Zlínský,dospělí,1070,865,597,120,1
2019,M,KSST Ústecký,dospělí,1076,912,605,103,2
2019,M,Moravskoslezský SST,dospělí,1485,1221,942,263,22
2019,M,Pražský SST,dospělí,939,818,658,203,17
2019,M,Středočeský SST,dospělí,2822,2181,1404,268,10
2019,Z,KSST Jihomoravský,dospělí,199,118,63,26,4
2019,Z,KSST Jihočeský,dospělí,75,56,25,,
2019,Z,KSST Karlovarský,dospělí,34,21,4,,
2019,Z,KSST Kralovéhradecký,dospělí,118,66,44,11,
2019,Z,KSST Liberecký,dospělí,62,37,13,1,
2019,Z,KSST Olomoucký,dospělí,40,25,16,,
2019,Z,KSST Pardubický,dospělí,69,44,27,1,
2019,Z,KSST Plzeňský,dospělí,67,51,32,1,
2019,Z,KSST Vysočina,dospělí,53,38,20,4,
2019,Z,KSST Zlínský,dospělí,61,41,21,4,
2019,Z,KSST Ústecký,dospělí,66,38,21,2,
2019,Z,Moravskoslezský SST,dospělí,113,67,45,14,1
2019,Z,Pražský SST,dospělí,137,115,67,12,
2019,Z,Středočeský SST,dospělí,188,106,51,9,
2020,M,KSST Jihomoravský,dospělí,2283,1773,1228,296,14
2020,M,KSST Jihočeský,dospělí,1164,997,659,103,4
2020,M,KSST Karlovarský,dospělí,247,192,141,36,4
2020,M,KSST Kralovéhradecký,dospělí,1291,1041,706,173,10
2020,M,KSST Liberecký,dospělí,685,554,369,91,8
2020,M,KSST Olomoucký,dospělí,1040,767,562,135,
2020,M,KSST Pardubický,dospělí,843,697,512,118,4
2020,M,KSST Plzeňský,dospělí,926,791,562,112,1
2020,M,KSST Vysočina,dospělí,1300,1096,699,132,5
2020,M,KSST Zlínský,dospělí,1080,824,571,137,1
2020,M,KSST Ústecký,dospělí,1014,880,602,105,3
2020,M,Moravskoslezský SST,dospělí,1450,1194,929,277,34
2020,M,Pražský SST,dospělí,940,822,665,213,16
2020,M,Středočeský SST,dospělí,2797,2253,1418,263,7
2020,Z,KSST Jihomoravský,dospělí,199,108,62,26,3
2020,Z,KSST Jihočeský,dospělí,82,53,27,,
2020,Z,KSST Karlovarský,dospělí,29,20,6,,
2020,Z,KSST Kralovéhradecký,dospělí,119,59,39,14,1
2020,Z,KSST Liberecký,dospělí,66,38,13,1,
2020,Z,KSST Olomoucký,dospělí,49,23,11,1,
2020,Z,KSST Pardubický,dospělí,67,46,28,3,
2020,Z,KSST Plzeňský,dospělí,74,44,28,4,
2020,Z,KSST Vysočina,dospělí,51,39,17,4,
2020,Z,KSST Zlínský,dospělí,64,36,19,3,
2020,Z,KSST Ústecký,dospělí,58,41,26,4,
2020,Z,Moravskoslezský SST,dospělí,119,70,46,17,1
2020,Z,Pražský SST,dospělí,155,111,65,13,
2020,Z,Středočeský SST,dospělí,200,111,56,11,
2021,M,KSST Jihomoravský,dospělí,1148,986,762,270,11
2021,M,KSST Jihočeský,dospělí,426,398,322,78,5
2021,M,KSST Karlovarský,dospělí,110,102,91,24,3
2021,M,KSST Kralovéhradecký,dospělí,753,695,513,155,16
2021,M,KSST Liberecký,dospělí,258,239,187,69,3
2021,M,KSST Olomoucký,dospělí,550,495,358,101,
2021,M,KSST Pardubický,dospělí,383,342,267,82,3
2021,M,KSST Plzeňský,dospělí,273,267,247,85,2
2021,M,KSST Vysočina,dospělí,226,206,137,34,8
2021,M,KSST Zlínský,dospělí,378,359,287,95,4
2021,M,KSST Ústecký,dospělí,516,475,371,98,1
2021,M,Moravskoslezský SST,dospělí,850,774,592,219,34
2021,M,Pražský SST,dospělí,629,572,497,185,14
2021,M,Středočeský SST,dospělí,1486,1318,892,211,6
2021,Z,KSST Jihomoravský,dospělí,103,75,47,20,5
2021,Z,KSST Jihočeský,dospělí,26,23,15,,
2021,Z,KSST Karlovarský,dospělí,10,8,7,,
2021,Z,KSST Kralovéhradecký,dospělí,61,48,29,12,2
2021,Z,KSST Liberecký,dospělí,22,15,10,2,
2021,Z,KSST Olomoucký,dospělí,26,20,10,1,
2021,Z,KSST Pardubický,dospělí,25,23,14,,
2021,Z,KSST Plzeňský,dospělí,18,17,15,3,
2021,Z,KSST Vysočina,dospělí,14,7,4,,
2021,Z,KSST Zlínský,dospělí,14,12,8,1,
2021,Z,KSST Ústecký,dospělí,36,32,21,7,
2021,Z,Moravskoslezský SST,dospělí,65,49,34,16,
2021,Z,Pražský SST,dospělí,107,94,55,12,
2021,Z,Středočeský SST,dospělí,93,67,38,11,
2022,M,KSST Jihomoravský,dospělí,2268,978,747,261,12
2022,M,KSST Jihočeský,dospělí,1151,392,315,80,7
2022,M,KSST Karlovarský,dospělí,240,92,83,23,4
2022,M,KSST Kralovéhradecký,dospělí,1214,674,498,149,15
2022,M,KSST Liberecký,dospělí,621,224,172,61,2
2022,M,KSST Olomoucký,dospělí,1004,514,370,107,
2022,M,KSST Pardubický,dospělí,755,340,259,88,2
2022,M,KSST Plzeňský,dospělí,919,272,253,86,2
2022,M,KSST Vysočina,dospělí,1209,198,132,39,9
2022,M,KSST Zlínský,dospělí,1003,343,281,94,5
2022,M,KSST Ústecký,dospělí,946,465,365,97,3
2022,M,Moravskoslezský SST,dospělí,1362,756,578,209,31
2022,M,Pražský SST,dospělí,923,569,487,191,19
2022,M,Středočeský SST,dospělí,2679,1288,886,215,5
2022,Z,KSST Jihomoravský,dospělí,183,71,45,18,2
2022,Z,KSST Jihočeský,dospělí,68,22,14,,
2022,Z,KSST Karlovarský,dospělí,22,8,6,,
2022,Z,KSST Kralovéhradecký,dospělí,105,48,32,10,2
2022,Z,KSST Liberecký,dospělí,55,13,7,,
2022,Z,KSST Olomoucký,dospělí,52,20,12,,
2022,Z,KSST Pardubický,dospělí,46,18,13,1,
2022,Z,KSST Plzeňský,dospělí,63,15,13,3,
2022,Z,KSST Vysočina,dospělí,57,11,6,2,
2022,Z,KSST Zlínský,dospělí,57,10,8,1,
2022,Z,KSST Ústecký,dospělí,63,29,20,7,
2022,Z,Moravskoslezský SST,dospělí,101,44,28,16,1
2022,Z,Pražský SST,dospělí,150,93,55,11,
2022,Z,Středočeský SST,dospělí,172,64,38,9,
2023,M,KSST Jihomoravský,dospělí,2274,1744,1186,306,11
2023,M,KSST Jihočeský,dospělí,1105,933,661,115,8
2023,M,KSST Karlovarský,dospělí,243,187,132,31,3
2023,M,KSST Kralovéhradecký,dospělí,1272,972,675,174,13
2023,M,KSST Liberecký,dospělí,610,490,311,85,4
2023,M,KSST Olomoucký,dospělí,1003,858,625,139,1
2023,M,KSST Pardubický,dospělí,744,631,475,139,4
2023,M,KSST Plzeňský,dospělí,914,770,565,127,3
2023,M,KSST Vysočina,dospělí,1241,995,634,141,10
2023,M,KSST Zlínský,dospělí,968,743,541,138,3
2023,M,KSST Ústecký,dospělí,934,780,557,106,3
2023,M,Moravskoslezský SST,dospělí,1380,1125,872,283,36
2023,M,Pražský SST,dospělí,949,795,655,242,30
2023,M,Středočeský SST,dospělí,2674,2104,1357,283,5
2023,Z,KSST Jihomoravský,dospělí,196,93,53,18,3
2023,Z,KSST Jihočeský,dospělí,67,45,30,1,
2023,Z,KSST Karlovarský,dospělí,21,14,6,,
2023,Z,KSST Kralovéhradecký,dospělí,107,63,44,14,2
2023,Z,KSST Liberecký,dospělí,56,34,8,,
2023,Z,KSST Olomoucký,dospělí,69,38,17,3,
2023,Z,KSST Pardubický,dospělí,46,27,18,2,
2023,Z,KSST Plzeňský,dospělí,61,39,24,4,
2023,Z,KSST Vysočina,dospělí,60,40,24,10,
2023,Z,KSST Zlínský,dospělí,45,24,14,1,
2023,Z,KSST Ústecký,dospělí,57,45,27,9,
2023,Z,Moravskoslezský SST,dospělí,95,63,36,15,1
2023,Z,Pražský SST,dospělí,138,115,66,18,
2023,Z,Středočeský SST,dospělí,214,107,55,11,
2024,M,KSST Jihomoravský,dospělí,2242,1731,1183,325,20
2024,M,KSST Jihočeský,dospělí,1129,939,646,112,6
2024,M,KSST Karlovarský,dospělí,228,193,144,36,2
2024,M,KSST Kralovéhradecký,dospělí,1258,977,682,183,14
2024,M,KSST Liberecký,dospělí,659,506,314,90,7
2024,M,KSST Olomoucký,dospělí,1084,884,660,159,3
2024,M,KSST Pardubický,dospělí,760,629,475,132,6
2024,M,KSST Plzeňský,dospělí,888,752,542,129,2
2024,M,KSST Vysočina,dospělí,1280,1027,646,151,11
2024,M,KSST Zlínský,dospělí,992,739,539,149,5
2024,M,KSST Ústecký,dospělí,996,816,577,123,2
