ID,2012 pořadí kraj kategorie,2013 pořadí kraj kategorie,2014 pořadí kraj kategorie,2015 pořadí kraj kategorie,2016 pořadí kraj kategorie,2017 pořadí kraj kategorie,2018 pořadí kraj kategorie,2019 pořadí kraj kategorie,2020 pořadí kraj kategorie,2021 pořadí kraj kategorie,2022 pořadí kraj kategorie,2023 pořadí kraj kategorie,2024 pořadí kraj kategorie,2025 pořadí kraj kategorie,2026 pořadí kraj kategorie,2027 pořadí kraj kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani kraj kategorie,2027 Pořadí skokani kraj kategorie
35554,110,98,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,
35564,2,2,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,
35612,,13,9,11,,,,,,,,,,,,,,11,32,,,,,,,,,,,,
35646,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,
35761,2,2,5,7,,,,,,,,,,,,,28,90,52,,,,,,,,,,,,
35763,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35775,1,1,1,1,1,1,,,,,,,,,,,22,35,103,47,79,,,,,,,,,,
35776,16,13,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,
35839,13,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35900,11,22,26,,,,,,,,,,,,,,79,78,,,,,,,,,,,,,
35922,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35944,,13,13,,,,,,,,,,,,,,,26,,,,,,,,,,,,,
35948,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36039,15,20,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,
36071,15,14,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,
36090,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
36099,3,2,4,5,4,4,,,,,,,,,,,2,9,13,5,21,,,,,,,,,,
36126,37,28,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,
36138,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36158,,34,36,,,,,,,,,,,,,,,72,,,,,,,,,,,,,
36165,17,15,27,27,,,,,,,,,,,,,66,75,81,,,,,,,,,,,,
36166,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36183,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36185,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36186,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36223,2,2,4,4,,,,,,,,,,,,,5,25,20,,,,,,,,,,,,
36229,,39,53,,,,,,,,,,,,,,,105,,,,,,,,,,,,,
36264,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36268,12,12,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,
36270,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36363,8,5,6,9,,,,,,,,,,,,,9,73,24,,,,,,,,,,,,
